Name,Hemisphere,Structure,Corrected Pval,Pval
A24aPrime,Left,FB,1.0,0.19421611567768646
A32,Left,FB,1.0,0.35779284414311713
M1,Left,FB,1.0,0.757944841103178
M2,Left,FB,1.0,0.7882242355152896
MO,Left,FB,1.0,0.9855402891942161
V2L,Left,FB,1.0,0.3107337853242935
V1M,Left,FB,1.0,0.11495770084598309
V1B,Left,FB,1.0,0.0039799204015919685
V1,Left,FB,1.0,0.013639727205455891
TeA,Left,FB,1.0,0.8091238175236495
S2,Left,FB,1.0,0.24629507409851803
S1ULp,Left,FB,1.0,0.8858622827543449
S1Tr,Left,FB,1.0,0.09009819803603927
S1Sh,Left,FB,1.0,0.9784804303913922
S1J,Left,FB,1.0,0.45497090058198836
S1HL,Left,FB,1.0,0.049119017619647605
S1FL,Left,FB,1.0,0.12711745765084698
S1DZ,Left,FB,1.0,0.9165016699666007
S1BF,Left,FB,1.0,0.011799764004719906
S1,Left,FB,1.0,0.17117657646847062
PtPR,Left,FB,1.0,0.4658706825863483
MPtA,Left,FB,1.0,0.14629707405851883
V2MM,Left,FB,1.0,0.1384572308553829
IC,Left,MB,1.0,0.016599668006639867
SN,Left,MB,1.0,0.13637727245455092
RPC,Left,FB,1.0,0.02353952920941581
scp,Left,WM,1.0,0.034819303613927724
mcp,Left,WM,1.0,0.046719065618687626
vsc,Left,WM,1.0,0.19707605847883042
sc,Left,WM,1.0,0.4059518809623808
mlf_ts,Left,WM,1.0,0.028219435611287775
lfp,Left,WM,1.0,0.2634747305053899
n7,Left,WM,1.0,0.10037799244015119
icp_oc_tz,Left,WM,1.0,0.5527089458210835
n8,Left,WM,1.0,0.09399812003759925
sp5,Left,WM,1.0,0.011719765604687906
ll,Left,WM,1.0,0.2139757204855903
cp,Left,WM,1.0,0.00623987520249595
bsc,Left,WM,1.0,0.28241435171296575
pc,Left,WM,1.0,0.08469830603387932
mt,Left,WM,1.0,0.1740365192696146
sm,Left,WM,1.0,0.05233895322093558
py,Left,WM,1.0,0.026719465610687786
cbw,Left,WM,1.0,0.09399812003759925
LV,Left,VS,1.0,0.4477310453790924
A25,Left,FB,1.0,0.22847543049139019
PVG.1,Right,FB,1.0,0.03565928681426372
PVG,Left,FB,1.0,0.5974280514389713
PR_p3Tg_L,Left,FB,1.0,0.03499930001399972
PHD_PaMP_Post_and_LatHy,Left,FB,1.0,0.08001839963200735
IRN,Left,HB,1.0,0.02877942441151177
CSF,Left,VS,1.0,0.630967380652387
RR,Left,HB,1.0,0.00879982400351993
PaR,Left,MB,1.0,0.10289794204115918
RMC,Left,MB,1.0,0.12321753564928702
Athal,Left,FB,1.0,0.010559788804223915
LP,Left,FB,1.0,0.5766484670306594
LDVL,Left,FB,1.0,0.0376792464150717
PT,Left,FB,1.0,0.005679886402271955
MiTg,Left,HB,1.0,0.0628387432251355
4V,Left,VS,1.0,0.11045779084418311
Post,Left,FB,1.0,0.041879162416751665
das,Left,WM,1.0,0.36607267854642905
fr,Left,WM,1.0,0.6977660446791064
ic,Left,WM,1.0,0.08567828643427132
vhc,Left,WM,1.0,0.007659846803063939
lo,Left,WM,1.0,0.050418991620167594
m5,Left,WM,1.0,0.3239735205295894
Su5,Left,HB,1.0,0.8065238695226096
CG,Left,HB,1.0,0.30517389652206955
PCRt,Left,HB,1.0,0.004539909201815964
KF,Left,HB,1.0,0.10189796204075918
Vll,Left,HB,1.0,0.2391152176956461
FasMed,Left,HB,1.0,0.24175516489670207
FasDL,Left,HB,1.0,0.24537509249815004
Int,Left,HB,1.0,0.32661346773064537
Den,Left,HB,1.0,0.3994120117597648
Cb_1_10,Left,HB,1.0,0.10913781724365512
Iped,Left,HB,1.0,0.04535909281814364
BS_R,Left,HB,1.0,0.35959280814383715
PrCn,Left,MB,1.0,0.13477730445391092
Cn,Left,MB,1.0,0.3262334753304934
RI,Left,MB,1.0,0.5977880442391152
MRN,Left,MB,1.0,0.013899722005559889
5N,Left,HB,1.0,0.23119537609247814
A24aPrime.1,Right,FB,1.0,0.024359512809743807
PnO,Left,HB,1.0,0.005179896402071959
Pr5,Left,HB,1.0,0.17097658046839062
cg,Left,WM,1.0,0.18289634207315852
st,Left,WM,1.0,0.44823103537929243
fx,Left,WM,1.0,0.047819043619127616
cc,Left,WM,1.0,0.4244115117697646
fi,Left,WM,1.0,0.08869822603547929
ot,Left,WM,1.0,0.5127297454050919
ac,Left,WM,1.0,0.3237135257294854
Cu,Left,HB,1.0,0.7261654766904662
Gi,Left,HB,1.0,0.04675906481870363
Ve,Left,HB,1.0,0.024759504809903802
Sp5,Left,HB,1.0,0.1518569628607428
Oliv,Left,HB,1.0,0.09133817323653527
RTg,Left,HB,1.0,0.19115617687646247
Pn,Left,HB,1.0,0.01995960080798384
CoN,Left,HB,1.0,0.21791564168716626
Tg,Left,HB,1.0,0.12269754604907902
DTg,Left,HB,1.0,0.1875962480750385
Raph,Left,HB,1.0,0.12913741725165498
BLA.1,Right,FB,1.0,0.6363872722545549
